appid,name,developer,publisher,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,release_date,required_age,is_free,short_description,supported_languages,platforms_windows,platforms_mac,platforms_linux,metacritic_score,recommendations,achievements,genres,categories
1071100,Boom 3D Windows: Experience 3D surround sound in games,Global Delight Technologies Pvt. Ltd.,Global Delight Technologies Pvt. Ltd.,623,107,"20,000 .. 50,000",0,0,0,0,1699,1699,0,71,"Jun 19, 2019",0,False,Experience 3D surround that is specifically designed for games on your Windows 10 and 11 devices across any headphones or speakers. Boom 3D's system-wide integration on Windows OS enriches the audio output for every user-interaction making gaming an unbelievably immersive experience.,"English, French, German, Spanish - Spain, Japanese, Spanish - Latin America, Simplified Chinese",True,False,False,,756.0,0.0,"Audio Production, Utilities",
1085160,Palmyra Orphanage,Steppe Hare Studio,Steppe Hare Studio,617,77,"20,000 .. 50,000",0,0,0,0,599,599,0,1,"Sep 24, 2019",0,False,"Paranormal first-person horror, which takes place in an abandoned orphanage. Walk through the corridors of your childhood, but do remember that you're not only one here.","English, Russian, Simplified Chinese",True,False,False,,625.0,16.0,Indie,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
1403650,Everdream Valley,Mooneaters,"Untold Tales, VARSAV Game Studios",596,222,"20,000 .. 50,000",0,0,0,0,749,2499,70,6,"May 30, 2023",0,False,"A farming adventure with a dash of magic. Play solo or up to a 4-player coop. By day, restore your quaint farm into a summer paradise. Explore, raise crops, care for animals and rebuild your home. At night inhabit various creatures through your dreams and bring enchantment to the valley.","English, French, German, Polish, Korean, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America, Japanese",True,False,False,,708.0,22.0,"Adventure, Casual, Indie","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, DualShock Controller Support, DualShock Controller Support, DualSense Controller Support, DualSense Controller Support, Steam Cloud, Family Sharing"
3147430,Journey to Incrementalia,Adam Travers,Adam Travers,588,70,"20,000 .. 50,000",0,0,0,0,499,499,0,72,"Oct 23, 2024",0,False,"Journey to Incrementalia is an active incremental auto-battler about a necromancer on a short quest. Cast diabolical spells, summon an army and open the gates of hell on your quest to break down 99 walls and reach the lost city of Incrementalia.",English<strong>*</strong><br><strong>*</strong>languages with full audio support,True,False,False,,889.0,4.0,"Adventure, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing"
2950340,LEGO Harry Potter Collection,"TT Games, Double Eleven",Warner Bros. Games,548,123,"20,000 .. 50,000",0,0,0,0,599,3999,85,92,"Oct 8, 2024",0,False,"The LEGO® Harry Potter™: Collection brings LEGO® Harry Potter™: Years 1-4 and LEGO® Harry Potter™: Years 5-7 together in one game, now remastered with enhanced graphics.","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Danish, Japanese, Korean, Polish, Portuguese - Brazil, Spanish - Latin America, Traditional Chinese<br><strong>*</strong>languages with full audio support",True,False,False,,1409.0,84.0,"Action, Adventure, Casual","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Gamepad Recommended, Steam Cloud, Remote Play Together, Family Sharing"
1967320,Fairy Biography,Lovely Games,Lovely Games,544,136,"20,000 .. 50,000",0,0,0,0,299,299,0,1,,,,,,,,,,,,,
629000,Lydia,Platonic Partnership,Platonic Partnership,525,65,"20,000 .. 50,000",0,0,0,0,499,499,0,0,"Jun 2, 2017",0,False,Award winning emotional visual novel about a little girl in a world of adults. How can you find a monster you can’t see?,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese",True,False,False,78.0,573.0,1.0,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
706560,Jimmy and the Pulsating Mass,Kasey Ozymy,Kasey Ozymy,504,33,"20,000 .. 50,000",0,0,0,0,1499,1499,0,2,"Aug 7, 2018",0,False,"One day, Jimmy looked inside.",English,True,True,False,86.0,525.0,0.0,"Indie, RPG","Single-player, Partial Controller Support, Family Sharing"
2082410,Anomaly Collapse,RocketPunch Games,RocketPunch Games,501,84,"20,000 .. 50,000",0,0,0,0,1999,1999,0,2,"Apr 11, 2024",0,False,"Command a squad of adorably fierce warriors in Anomaly Collapse, a turn-based Roguelite strategy game that offers a fresh twist to an old formula! Face off against otherworldly beings and uncover the dark secrets of supernatural calamities. Immerse yourself in a story where every move counts!","Simplified Chinese, English, Japanese, Traditional Chinese, French, Spanish - Spain, Russian, Portuguese - Brazil, Portuguese - Portugal, Spanish - Latin America",True,False,False,,567.0,102.0,"Indie, Strategy","Single-player, Steam Achievements, Full controller support, DualShock Controller Support, Steam Cloud, Family Sharing"
661430,LineWay,PONY,PONY,496,39,"20,000 .. 50,000",0,0,0,0,99,99,0,0,"Jun 20, 2017",0,False,Can you draw a line?,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Danish<strong>*</strong>, Ukrainian<strong>*</strong>, Russian<strong>*</strong>, Bulgarian<strong>*</strong>, Hungarian<strong>*</strong>, Turkish<strong>*</strong>, Greek<strong>*</strong>, Norwegian<strong>*</strong>, Czech<strong>*</strong>, Japanese<strong>*</strong>, Polish<strong>*</strong>, Thai<strong>*</strong>, Swedish<strong>*</strong>, Simplified Chinese<strong>*</strong>, Traditional Chinese<strong>*</strong>, Romanian<strong>*</strong>, Finnish<strong>*</strong>, Dutch<strong>*</strong>, Portuguese - Portugal<strong>*</strong>, Portuguese - Brazil<strong>*</strong>, Arabic<strong>*</strong>, Korean<strong>*</strong><br><strong>*</strong>languages with full audio support",True,True,False,,517.0,1.0,"Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing"
